config1,config2,mean_rmse_config1,mean_rmse_config2,std_rmse_config1,std_rmse_config2,t_statistic,p_value,cohen_d,significant_force_rmse,better_config
hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_001_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256,0.17229209510332644,0.2392002930275565,0.00584867136313662,0.004084073067537546,-28.138363118304802,6.281818625322681e-14,-13.264551581628515,True,hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512
hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_000_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-128,0.17229209510332644,0.24057241547657343,0.00584867136313662,0.003936969182024755,-29.054232874754025,6.3365078163888e-14,-13.69629672527446,True,hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512
hpo_068_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-512,hpo_000_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-128,0.19733375791919525,0.24057241547657343,0.0037507787681437432,0.003936969182024755,-23.85514081639824,6.539993741663763e-14,-11.245421224956791,True,hpo_068_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-32_mlp_width-512
hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_003_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-128,0.1916931952407665,0.23347816082526865,0.003770804890287452,0.0036780130343311477,-23.797714369438435,6.544029051684177e-14,-11.218350138246974,True,hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256
hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_001_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-256,0.19523981751201225,0.2392002930275565,0.0035675348994297354,0.004084073067537546,-24.31972081269794,6.783900455554369e-14,-11.464426335481551,True,hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128
hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256,hpo_010_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-256,0.1916931952407665,0.23439623684983457,0.003770804890287452,0.0026527654314562423,-27.786760971470873,6.859275004260232e-14,-13.09880474009117,True,hpo_103_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-256
hpo_078_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-128,hpo_009_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-128,0.20345481535820664,0.23657921443040428,0.0030928725591807633,0.002710156902146771,-24.16501359327117,7.353592606842044e-14,-11.391496652844761,True,hpo_078_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-128
hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_010_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-256,0.19523981751201225,0.23439623684983457,0.0035675348994297354,0.0026527654314562423,-26.422970658508643,7.525400278352069e-14,-12.455907821149758,True,hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128
hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128,hpo_018_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-128,0.19523981751201225,0.23362478201720607,0.0035675348994297354,0.0032652579204344332,-23.81083246254355,7.560290573928601e-14,-11.224534066640885,True,hpo_096_num_layers-2_l_max-2_num_scalar_features-64_num_tensor_features-64_mlp_width-128
hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_002_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-16_mlp_width-512,0.17229209510332644,0.2355887365194291,0.00584867136313662,0.005582217599219654,-23.48653540566705,8.30085318523637e-14,-11.071658967950075,True,hpo_107_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-64_mlp_width-512
