config1,config2,mean_Throughput_KAtomSteps_s_MaxAtoms_config1,mean_Throughput_KAtomSteps_s_MaxAtoms_config2,std_Throughput_KAtomSteps_s_MaxAtoms_config1,std_Throughput_KAtomSteps_s_MaxAtoms_config2,t_statistic,p_value,cohen_d,significant_diff,better_config
hpo_026_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_007_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-256,116.56933333333335,208.854,3.934839302097778,9.353330048704578,-15.752140538723717,0.0010063045321970381,-12.861568892160944,True,hpo_007_num_layers-1_l_max-1_num_scalar_features-32_num_tensor_features-64_mlp_width-256
hpo_083_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-512,hpo_047_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-512,84.64733333333334,139.11,2.6797866208587116,5.883047424592115,-14.592023901496601,0.0010090878092206936,-11.914337624387633,True,hpo_047_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-512
hpo_083_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-16_mlp_width-512,hpo_058_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-256,84.64733333333334,136.64200000000002,2.6797866208587116,5.733045612935583,-14.230600178892809,0.0010093861334990002,-11.619236390615463,True,hpo_058_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-256
hpo_059_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-512,hpo_045_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-128,58.191,265.5403333333333,11.404218166976634,23.119376728911476,-13.296087776532428,0.001013913735976603,-10.371497845836764,True,hpo_045_num_layers-1_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-128
hpo_074_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-16_mlp_width-512,hpo_011_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-512,62.355333333333334,167.94966666666667,1.479508138988543,7.113700466939366,-25.171568460573994,0.0010140232122957673,-20.552499584646853,True,hpo_011_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-512
hpo_088_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-256,hpo_040_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-256,72.79100000000001,207.639,2.3544636331869735,9.682192881780454,-23.43991177342212,0.0010145858968924682,-19.138607820246712,True,hpo_040_num_layers-1_l_max-2_num_scalar_features-64_num_tensor_features-32_mlp_width-256
hpo_070_num_layers-2_l_max-1_num_scalar_features-64_num_tensor_features-64_mlp_width-256,hpo_024_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-128,94.057,207.55499999999998,4.180542189716547,10.816030741450396,-16.953005565927146,0.0010153290961232425,-13.842071081028225,True,hpo_024_num_layers-1_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-128
hpo_080_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-512,hpo_058_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-256,49.9,136.64200000000002,1.1181395261773,5.733045612935583,-25.721599446627003,0.0010201617314891302,-21.001598004163437,True,hpo_058_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-256
hpo_079_num_layers-2_l_max-1_num_scalar_features-128_num_tensor_features-64_mlp_width-256,hpo_058_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-256,69.74866666666667,136.64200000000002,1.9002669110767967,5.733045612935583,-19.183287540430744,0.0010229618300315161,-15.663088687715147,True,hpo_058_num_layers-2_l_max-1_num_scalar_features-32_num_tensor_features-32_mlp_width-256
hpo_087_num_layers-2_l_max-2_num_scalar_features-32_num_tensor_features-64_mlp_width-128,hpo_011_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-512,85.36166666666668,167.94966666666667,2.375377934841808,7.113700466939366,-19.073364019530775,0.0010231753779003545,-15.573336508736789,True,hpo_011_num_layers-1_l_max-1_num_scalar_features-64_num_tensor_features-16_mlp_width-512
