Name,Default_default_final_rel_rmse_f,Default_default_final_rmse_e_per_atom,Default_default_final_rmse_f,valid_default_final_rel_rmse_f,valid_default_final_rmse_e_per_atom,valid_default_final_rmse_f
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_1,37.67260179617084,1.5946562634781003,31.096674501895905,5.643901933808505,3.162072505801916,76.32734626531601
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_3_fold_0,37.53738128032266,1.766220317222178,30.98505735397339,5.312819833321492,3.741584485396743,71.84983789920807
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_2,35.449445957159256,1.3761490117758512,29.26158346235752,26.63308113030647,1.437024911865592,31.01392276585102
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_1,35.44890890222522,1.3195257633924484,29.261140152812004,26.538153288566463,1.3529369607567787,30.90338036417961
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_2_fold_0,35.59481183468215,1.2127510271966455,29.38157506287098,26.82691806638714,1.242858706973493,31.239643692970276
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_2,36.77584979142221,1.5054726973176005,30.356457456946373,1.8254214071603272,3.2497344072908163,42.21959412097931
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_1,36.758059282599014,1.4293523272499442,30.341772362589836,1.7412421276617784,2.595792291685939,40.27263820171356
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_1_fold_0,36.93665712656524,1.6718838596716523,30.48919513821602,1.8802234981443184,3.1336338724941015,43.48709434270859
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_2,38.122069317028874,1.85038847848773,31.46769106388092,2.93248622452496,6.315702106803656,94.79931741952896
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_1,38.7966057402239,2.002380322664976,32.02448412775993,4.9451013168078894,5.895298905670643,159.8616987466812
model_18_r_cut5.0_max_L1_num_channels64_learning_rate0.001_batch_size4_initial_rep_0_fold_0,37.7826032421602,2.207409590482712,31.187480315566063,2.886524749815956,4.8910644836723804,93.31350773572922
model_14_r_cut5.0_max_L1_num_channels32_learning_rate0.001_batch_size4_initial_rep_4_fold_2,40.84100956575381,1.8989380914717913,33.71202200651169,4.384842301226823,5.782628897577524,47.15704545378685
model_14_r_cut5.0_max_L1_num_channels32_learning_rate0.001_batch_size4_initial_rep_4_fold_1,40.69420484666506,1.7235177801921964,33.59084576368332,4.3842416579696275,5.052404478192329,47.15058580040932
model_14_r_cut5.0_max_L1_num_channels32_learning_rate0.001_batch_size4_initial_rep_4_fold_0,40.965819251285915,1.91627093590796,33.81504863500595,4.392949599632045,5.291962996125221,47.24423587322235
model_14_r_cut5.0_max_L1_num_channels32_learning_rate0.001_batch_size4_initial_rep_3_fold_2,41.469852076476506,2.0874168258160353,34.23110023140907,9.365740386531051,5.499716382473707,126.66097283363342
model_14_r_cut5.0_max_L1_num_channels32_learning_rate0.001_batch_size4_initial_rep_3_fold_1,41.488973939968105,2.187906065955758,34.246884286403656,12.025591907358695,4.993078764528036,162.63243556022644
model_14_r_cut5.0_max_L1_num_channels32_learning_rate0.001_batch_size4_initial_rep_3_fold_0,41.36755812810073,1.8209120025858283,34.14665907621384,8.191768822685331,4.94118919596076,110.78434437513351
model_14_r_cut5.0_max_L1_num_channels32_learning_rate0.001_batch_size4_initial_rep_0_fold_0,41.11960570966355,2.35415413044393,33.94198790192604,2.356753887044491,3.536613192409277,76.18745416402817
model_10_r_cut5.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_2,38.994141657248186,1.625033677555621,32.18753635883331,6.091985093837987,2.678054617717862,65.51661342382431
model_10_r_cut5.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_0,38.20156140128134,1.5708769205957651,31.53330460190773,5.2560961292923105,2.8322588186711073,56.526996195316315
model_10_r_cut5.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_4_fold_1,38.58264926417827,1.6406875802204013,31.847871840000153,6.740969395093924,2.421726705506444,72.49615341424942
model_10_r_cut5.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_2_fold_2,37.533029552409566,1.384153962135315,30.98146803677082,28.074379347310057,1.4767070533707738,32.69229829311371
model_10_r_cut5.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_1,41.44158222683964,2.7361430693417788,34.20776501297951,20.987163346341266,3.434476675465703,283.8274836540222
model_10_r_cut5.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_0,40.787990885187355,1.9375127740204336,33.668261021375656,17.784625885412794,4.4748736545443535,240.5168116092682
model_10_r_cut5.0_max_L0_num_channels128_learning_rate0.001_batch_size4_initial_rep_3_fold_2,40.62222143323787,2.093985676765442,33.53142738342285,19.393769482206725,3.9472412317991257,262.27864623069763
model_14_r_cut5.0_max_L1_num_channels32_learning_rate0.001_batch_size4_initial_rep_1_fold_2,40.19957725242007,1.8085060874000192,33.18255767226219,2.242811032635204,10.605180636048315,51.87326669692993
